1 3   2005.04004    
2 3   2005.03003    
3 3   2005.04004    
4 3   2005.03003    
5 5   2018.0
6 3   2005.03003    
7 3   2004.12000    
8 3   2004.08997    
9 2   1995.10999    
10 3   2004.08997    
11 2   1995.10999    
12 3   2004.09998    
13 3   2004.06995    
14 3   2004.06995    
15 3   2004.07996    
16 3   2004.06006    
17 2   1994.12000    
18 3   2005.07996    
19 3   2005.06995    
20 3   2005.06995    
21 2   0.00000000    
22 3   2004.06995    
23 2   1995.10999    
24 3   2004.06006    
25 5   2018.0
26 3   2004.08997    
27 3   2004.08997    
28 3   2004.08997    
29 2   1994.01001    
30 3   2004.08997    
31 3   2005.01001    
32 5   2018.0
33 2   0.00000000    
34 3   2004.05005    
35 2   1993.03003    
36 3   2004.05005    
37 3   2004.03003    
38 3   2004.02002    
39 2   1993.08997    
40 3   2004.01001    
41 2   1994.03003    
42 3   2004.01001    
43 3   2003.06006    
44 3   2004.02002    
45 2   0.00000000    
46 3   2003.07996    
47 2   1994.10999    
48 3   2003.07996    
49 3   2003.05005    
50 3   2003.07996    
51 2   1994.04004    
52 3   2005.04004    
53 2   1995.03003    
54 3   2005.05005    
55 2   1994.01001    
56 3   2005.04004    
57 2   1995.10999    
58 3   2005.05005    
59 2   1995.12000    
60 3   2005.04004    
61 2   1995.01001    
62 3   2005.06006    
63 2   1995.12000    
64 3   2005.06006    
65 2   1995.02002    
66 3   2005.05005    
67 2   1996.06995    
68 3   2005.05005    
69 3   2005.06006    
70 3   2005.06006    
71 2   1994.08997    
72 3   2005.06006    
73 2   1994.08997    
74 3   2005.05005    
75 2   1994.09998    
76 3   2005.04004    
77 2   1995.12000    
78 3   2005.05005    
79 2   1996.01001    
80 3   2005.06006    
81 2   1994.04004    
82 3   2005.06006    
83 2   1994.08997    
84 3   2005.04004    
85 2   1995.01001    
86 3   2005.05005    
87 2   1994.01001    
88 3   2005.05005    
89 2   1993.12000    
90 3   2005.06006    
91 2   1996.01001    
92 3   2005.05005    
93 2   0.00000000    
94 3   2005.06006    
95 2   1994.01001    
96 3   2005.05005    
97 2   1994.08997    
98 3   2005.05005    
99 2   1994.08997    
100 3   2005.04004    
101 2   0.00000000    
102 3   2005.06006    
103 2   1995.02002    
104 3   2005.06006    
105 2   1996.07996    
106 3   2005.05005    
107 2   1994.06006    
108 3   2005.04004    
109 2   0.00000000    
110 3   2005.05005    
111 2   1994.06995    
112 3   2005.06006    
113 2   1996.01001    
114 3   2005.05005    
115 2   1994.06006    
116 3   2005.06006    
117 2   1995.12000    
118 3   2005.06006    
119 2   1995.01001    
120 3   2005.05005    
121 2   1995.01001    
122 3   2004.06995    
123 2   1995.02002    
124 3   2005.05005    
125 2   1994.06006    
126 3   2005.06006    
127 2   1995.02002    
128 3   2005.06006    
129 2   1995.02002    
130 3   2005.06006    
131 2   1994.06995    
132 3   2005.06006    
133 2   1994.02002    
134 3   2005.06006    
135 2   1995.02002    
136 3   2005.06006    
137 2   1995.02002    
138 3   2005.06006    
139 2   1995.12000    
140 3   2005.06006    
141 2   1995.01001    
142 3   2005.05005    
143 2   1994.06006    
144 3   2005.06006    
145 2   1995.02002    
146 3   2005.04004    
147 2   1995.02002    
148 3   2005.06006    
149 2   1995.02002    
150 3   2005.06006    
151 2   1994.08997    
152 3   2005.05005    
153 2   1994.06995    
154 3   2005.04004    
155 2   1996.05005    
156 3   2005.04004    
157 2   1995.01001    
158 3   2005.03003    
159 2   1995.02002    
160 3   2004.09998    
161 2   1995.02002    
162 3   2004.10999    
163 2   1994.08997    
164 3   2005.03003    
165 2   1995.02002    
166 3   2004.06995    
167 2   1994.06995    
168 3   2004.07996    
169 2   1996.06006    
170 3   2004.06995    
171 2   1994.08997    
172 3   2005.06006    
173 2   1994.02002    
174 3   2005.06995    
175 2   1995.10999    
176 3   2004.04004    
177 2   1995.02002    
178 3   2004.08997    
179 2   1994.07996    
180 3   2004.08997    
181 2   1993.06006    
182 3   2004.10999    
183 2   0.00000000    
184 3   2005.01001    
