86119 8 0 -1237 -70.7 1197 86109
86120 8 1 -1237 -70.7 1197 86109
86126 12 0 -1237 -70.7 1197 86124
86127 12 1 -1237 -70.7 1197 86124
86129 15 0 -1237 -70.7 1197 86124
86130 15 1 -1237 -70.7 1197 86124
86135 8 0 -1237 -70.7 -6 86133
86136 8 1 -1237 -70.7 -6 86133
86138 12 0 -1237 -70.7 -6 86133
86139 12 1 -1237 -70.7 -6 86133
86142 15 0 -1237 -70.7 -6 86133
86143 15 1 -1237 -70.7 -6 86133
86145 6 0 -1237 -70.7 -6 86133
86146 6 1 -1237 -70.7 -6 86133
86154 8 0 -1237 -70.7 -1209 86152
86155 8 1 -1237 -70.7 -1209 86152
86157 12 0 -1237 -70.7 -1209 86152
86158 12 1 -1237 -70.7 -1209 86152
86160 15 0 -1237 -70.7 -1209 86152
86161 15 1 -1237 -70.7 -1209 86152
