81588 18.9651
81613 13.6504
81616 8.85827
81623 6.00028
81626 16.29  
81633 18.9531
81636 13.6634
81640 8.8723 
81643 16.297 
81652 6.02035
81664 18.9591
81668 13.6564
81674 6.01935
81679 8.8763 
81684 16.297 
81688 6.96328
81695 18.9331
81698 13.6715
81701 6.02236
81704 8.8753 
81716 19.0011
81719 13.6745
81722 8.89433
81725 16.283 
81730 6.01132
81733 6.97029
81742 18.9771
81746 13.6584
81749 8.87831
81760 6.96829
81764 16.292 
81771 19.0141
81780 16.313 
81783 13.6654
81789 8.87029
81794 6.02637
81797 6.9723 
81801 18.9791
81807 18.9801
81810 13.6945
81813 6.97932
81816 6.03942
81819 8.89734
81822 16.331 
81830 16.32  
81837 13.6264
81840 8.85827
81843 6.96227
